Symbol,Timestamp,Price
R_50,1741793660,224.4145
R_50,1741793662,224.3992
R_50,1741793664,224.4277
R_50,1741793666,224.4399
R_50,1741793668,224.4129
R_50,1741793670,224.4149
R_50,1741793672,224.3989
R_50,1741793674,224.4706
R_50,1741793676,224.4828
R_50,1741793678,224.5076
R_50,1741793680,224.4736
R_50,1741793682,224.4985
R_50,1741793684,224.5267
R_50,1741793686,224.5377
R_50,1741793688,224.4953
R_50,1741793690,224.4742
R_50,1741793692,224.48
R_50,1741793694,224.4495
R_50,1741793696,224.4492
R_50,1741793698,224.4633
R_50,1741793700,224.4387
R_50,1741793702,224.3978
R_50,1741793704,224.375
R_50,1741793706,224.3635
R_50,1741793708,224.3396
R_50,1741793710,224.2712
R_50,1741793712,224.2952
R_50,1741793714,224.2867
R_50,1741793716,224.2619
R_50,1741793718,224.2918
R_50,1741793720,224.3329
R_50,1741793722,224.3332
R_50,1741793724,224.3413
R_50,1741793726,224.3579
R_50,1741793728,224.4097
R_50,1741793730,224.4121
R_50,1741793732,224.3866
R_50,1741793734,224.3924
R_50,1741793736,224.3951
R_50,1741793738,224.4271
R_50,1741793740,224.4098
R_50,1741793742,224.4088
R_50,1741793744,224.4068
R_50,1741793746,224.4144
R_50,1741793748,224.3802
R_50,1741793750,224.4006
R_50,1741793752,224.3859
R_50,1741793754,224.4149
R_50,1741793756,224.3839
R_50,1741793758,224.3928
R_50,1741793760,224.3983
R_50,1741793762,224.3257
R_50,1741793764,224.3887
R_50,1741793766,224.4251
R_50,1741793768,224.4596
R_50,1741793770,224.4592
R_50,1741793772,224.4674
R_50,1741793774,224.4742
R_50,1741793776,224.4371
R_50,1741793778,224.4413
R_50,1741793780,224.4742
R_50,1741793782,224.4827
R_50,1741793784,224.4959
R_50,1741793786,224.4876
R_50,1741793788,224.5214
R_50,1741793790,224.5137
R_50,1741793792,224.5496
R_50,1741793794,224.5313
R_50,1741793796,224.5315
R_50,1741793798,224.5101
R_50,1741793800,224.495
R_50,1741793802,224.4575
R_50,1741793804,224.4453
R_50,1741793806,224.3703
R_50,1741793808,224.4022
R_50,1741793810,224.3712
R_50,1741793812,224.3386
R_50,1741793814,224.3731
R_50,1741793816,224.346
R_50,1741793818,224.3062
R_50,1741793820,224.3341
R_50,1741793822,224.3215
R_50,1741793824,224.3552
R_50,1741793826,224.3467
R_50,1741793828,224.3407
R_50,1741793830,224.3244
R_50,1741793832,224.3081
R_50,1741793834,224.3162
R_50,1741793836,224.3133
R_50,1741793838,224.3208
R_50,1741793840,224.295
R_50,1741793842,224.2825
R_50,1741793844,224.2465
R_50,1741793846,224.2147
R_50,1741793848,224.2163
R_50,1741793850,224.2342
R_50,1741793852,224.2651
R_50,1741793854,224.2395
R_50,1741793856,224.2376
R_50,1741793858,224.2194
R_50,1741793860,224.2027
