Action,Amount,Asset,Prediction
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
